,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
745,"Kansas City, MO",Grafton Engineering Services,"Under general supervision, plans, conducts and supervises assignments involving the identification, assessment and development of new scientific concepts and...",e7845b9261be8060,Senior Scientist - Chemistry,,,,30+ days,2016-10-18 00:18:34.787165,Kansas City
746,"Overland Park, KS 66204",Saint Lukes Health System,Will consider a student who is MT(ASCP) eligible.Join the Kansas City region's premiere provider of health services....,bafdc5166530b774,Clinical Lab Scientist I - FT Night,,41.4,48,30+ days,2016-10-18 00:18:34.787165,Kansas City
747,"Kansas City, MO",Honeywell,Work with subject matter experts to determine the best learning solution for the situation. Manage and populate training course data in learning management...,ef88b77509fae2c9,Instructional Designer,,44.4,3477,30+ days,2016-10-18 00:18:34.787165,Kansas City
748,"Lee's Summit, MO",CLARCOR Industrial Air,"You will be responsible for executing the test plans laid out by Scientists in the team. Operate the Forcespinning pilot line, per the test plans laid out by...",f59980365819bc4b,Senior Lab Technician,,43.2,7,30+ days,2016-10-18 00:18:34.787165,Kansas City
749,"Overland Park, KS 66204",Saint Lukes Health System,Will consider a student who is MT(ASCP) eligible.Join the Kansas City region's premiere provider of health services....,3fb5b5f815727b8c,Clinical Lab Scientist I - PT Nights,,41.4,48,30+ days,2016-10-18 00:18:34.787165,Kansas City
750,"Kansas City, MO 64111 (Valentine area)",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",a7fdcc0f1222eb9c,Estimator Sr.- Power Transmission & Distribution,,51.0,122,30+ days,2016-10-18 00:18:34.787165,Kansas City
751,"Overland Park, KS 66204",Saint Lukes Health System,Will consider a student who is MT(ASCP) eligible.Join the Kansas City region's premiere provider of health services....,cab9fa3b33da5250,Clinical Lab Scientist I,,41.4,48,30+ days,2016-10-18 00:18:34.787165,Kansas City
752,"Overland Park, KS 66210",Cardinal Health,"What Scientific Consulting contributes to Cardinal Health. Scientific Consulting is responsible for Pharmaceutics, Chemistry, Microbiology and other...",4d6f556d20cef5ec,Scientist - Chemistry-Manufacturing & Control,,43.2,1236,30+ days,2016-10-18 00:18:34.787165,Kansas City
753,"Kansas City, MO 64111 (Valentine area)",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",bafb09708f4fdfe0,Sr. Process Mechanical Estimator,,51.0,122,30+ days,2016-10-18 00:18:34.787165,Kansas City
754,"Kansas City, MO",Grafton Engineering Services,"Under general supervision, plans, conducts and supervises assignments involving the identification, assessment and development of new scientific concepts and...",e7845b9261be8060,Senior Scientist - Chemistry,,,,30+ days,2016-10-18 00:18:34.787165,Kansas City
755,"Overland Park, KS 66204",Saint Lukes Health System,Will consider a student who is MT(ASCP) eligible.Join the Kansas City region's premiere provider of health services....,bafdc5166530b774,Clinical Lab Scientist I - FT Night,,41.4,48,30+ days,2016-10-18 00:18:34.787165,Kansas City
756,"Kansas City, MO",Honeywell,Work with subject matter experts to determine the best learning solution for the situation. Manage and populate training course data in learning management...,ef88b77509fae2c9,Instructional Designer,,44.4,3477,30+ days,2016-10-18 00:18:34.787165,Kansas City
757,"Lee's Summit, MO",CLARCOR Industrial Air,"You will be responsible for executing the test plans laid out by Scientists in the team. Operate the Forcespinning pilot line, per the test plans laid out by...",f59980365819bc4b,Senior Lab Technician,,43.2,7,30+ days,2016-10-18 00:18:34.787165,Kansas City
758,"Overland Park, KS 66204",Saint Lukes Health System,Will consider a student who is MT(ASCP) eligible.Join the Kansas City region's premiere provider of health services....,3fb5b5f815727b8c,Clinical Lab Scientist I - PT Nights,,41.4,48,30+ days,2016-10-18 00:18:34.787165,Kansas City
759,"Kansas City, MO 64111 (Valentine area)",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",a7fdcc0f1222eb9c,Estimator Sr.- Power Transmission & Distribution,,51.0,122,30+ days,2016-10-18 00:18:34.787165,Kansas City
760,"Overland Park, KS 66204",Saint Lukes Health System,Will consider a student who is MT(ASCP) eligible.Join the Kansas City region's premiere provider of health services....,cab9fa3b33da5250,Clinical Lab Scientist I,,41.4,48,30+ days,2016-10-18 00:18:34.787165,Kansas City
761,"Overland Park, KS 66210",Cardinal Health,"What Scientific Consulting contributes to Cardinal Health. Scientific Consulting is responsible for Pharmaceutics, Chemistry, Microbiology and other...",4d6f556d20cef5ec,Scientist - Chemistry-Manufacturing & Control,,43.2,1236,30+ days,2016-10-18 00:18:34.787165,Kansas City
762,"Kansas City, MO 64111 (Valentine area)",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",bafb09708f4fdfe0,Sr. Process Mechanical Estimator,,51.0,122,30+ days,2016-10-18 00:18:34.787165,Kansas City
763,"Kansas City, MO",Grafton Engineering Services,"Under general supervision, plans, conducts and supervises assignments involving the identification, assessment and development of new scientific concepts and...",e7845b9261be8060,Senior Scientist - Chemistry,,,,30+ days,2016-10-18 00:18:34.787165,Kansas City
764,"Overland Park, KS 66204",Saint Lukes Health System,Will consider a student who is MT(ASCP) eligible.Join the Kansas City region's premiere provider of health services....,bafdc5166530b774,Clinical Lab Scientist I - FT Night,,41.4,48,30+ days,2016-10-18 00:18:34.787165,Kansas City
765,"Kansas City, MO",Honeywell,Work with subject matter experts to determine the best learning solution for the situation. Manage and populate training course data in learning management...,ef88b77509fae2c9,Instructional Designer,,44.4,3477,30+ days,2016-10-18 00:18:34.787165,Kansas City
766,"Lee's Summit, MO",CLARCOR Industrial Air,"You will be responsible for executing the test plans laid out by Scientists in the team. Operate the Forcespinning pilot line, per the test plans laid out by...",f59980365819bc4b,Senior Lab Technician,,43.2,7,30+ days,2016-10-18 00:18:34.787165,Kansas City
767,"Overland Park, KS 66204",Saint Lukes Health System,Will consider a student who is MT(ASCP) eligible.Join the Kansas City region's premiere provider of health services....,3fb5b5f815727b8c,Clinical Lab Scientist I - PT Nights,,41.4,48,30+ days,2016-10-18 00:18:34.787165,Kansas City
768,"Kansas City, MO 64111 (Valentine area)",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",a7fdcc0f1222eb9c,Estimator Sr.- Power Transmission & Distribution,,51.0,122,30+ days,2016-10-18 00:18:34.787165,Kansas City
769,"Overland Park, KS 66204",Saint Lukes Health System,Will consider a student who is MT(ASCP) eligible.Join the Kansas City region's premiere provider of health services....,cab9fa3b33da5250,Clinical Lab Scientist I,,41.4,48,30+ days,2016-10-18 00:18:34.787165,Kansas City
770,"Overland Park, KS 66210",Cardinal Health,"What Scientific Consulting contributes to Cardinal Health. Scientific Consulting is responsible for Pharmaceutics, Chemistry, Microbiology and other...",4d6f556d20cef5ec,Scientist - Chemistry-Manufacturing & Control,,43.2,1236,30+ days,2016-10-18 00:18:34.787165,Kansas City
771,"Kansas City, MO 64111 (Valentine area)",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",bafb09708f4fdfe0,Sr. Process Mechanical Estimator,,51.0,122,30+ days,2016-10-18 00:18:34.787165,Kansas City
772,"Kansas City, MO",Grafton Engineering Services,"Under general supervision, plans, conducts and supervises assignments involving the identification, assessment and development of new scientific concepts and...",e7845b9261be8060,Senior Scientist - Chemistry,,,,30+ days,2016-10-18 00:18:34.787165,Kansas City
773,"Overland Park, KS 66204",Saint Lukes Health System,Will consider a student who is MT(ASCP) eligible.Join the Kansas City region's premiere provider of health services....,bafdc5166530b774,Clinical Lab Scientist I - FT Night,,41.4,48,30+ days,2016-10-18 00:18:34.787165,Kansas City
774,"Kansas City, MO",Honeywell,Work with subject matter experts to determine the best learning solution for the situation. Manage and populate training course data in learning management...,ef88b77509fae2c9,Instructional Designer,,44.4,3477,30+ days,2016-10-18 00:18:34.787165,Kansas City
775,"Lee's Summit, MO",CLARCOR Industrial Air,"You will be responsible for executing the test plans laid out by Scientists in the team. Operate the Forcespinning pilot line, per the test plans laid out by...",f59980365819bc4b,Senior Lab Technician,,43.2,7,30+ days,2016-10-18 00:18:34.787165,Kansas City
776,"Overland Park, KS 66204",Saint Lukes Health System,Will consider a student who is MT(ASCP) eligible.Join the Kansas City region's premiere provider of health services....,3fb5b5f815727b8c,Clinical Lab Scientist I - PT Nights,,41.4,48,30+ days,2016-10-18 00:18:34.787165,Kansas City
777,"Kansas City, MO 64111 (Valentine area)",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",a7fdcc0f1222eb9c,Estimator Sr.- Power Transmission & Distribution,,51.0,122,30+ days,2016-10-18 00:18:34.787165,Kansas City
778,"Overland Park, KS 66204",Saint Lukes Health System,Will consider a student who is MT(ASCP) eligible.Join the Kansas City region's premiere provider of health services....,cab9fa3b33da5250,Clinical Lab Scientist I,,41.4,48,30+ days,2016-10-18 00:18:34.787165,Kansas City
779,"Overland Park, KS 66210",Cardinal Health,"What Scientific Consulting contributes to Cardinal Health. Scientific Consulting is responsible for Pharmaceutics, Chemistry, Microbiology and other...",4d6f556d20cef5ec,Scientist - Chemistry-Manufacturing & Control,,43.2,1236,30+ days,2016-10-18 00:18:34.787165,Kansas City
